name,ccode,Type,pcode,value,size,population,medium2020,medium2100,high2020,high2100,low2020,low2100,fert2020,fert2100,mort2020,mort2100
Afghanistan,4,Country/Area,5501,1000,5,38928,38928,74938,38928,108986,38928,49303,38928,333229,38928,58288
Albania,8,Country/Area,925,1000,5,2878,2878,1088,2878,1934,2878,512,2878,1227,2878,879
Algeria,12,Country/Area,912,1000,5,43851,43851,70705,43851,98909,43851,48936,43851,129985,43851,61815
American Samoa,16,Country/Area,957,1000,5,55,55,36,55,61,55,18,55,64,55,31
Andorra,20,Country/Area,925,1000,5,77,77,62,77,86,77,44,77,53,77,55
Angola,24,Country/Area,911,1000,5,32866,32866,188283,32866,249857,32866,138608,32866,518116,32866,147644
Antigua and Barbuda,28,Country/Area,915,1000,5,98,98,102,98,152,98,66,98,119,98,90
Azerbaijan,31,Country/Area,922,1000,5,10139,10139,9192,10139,14158,10139,5703,10139,11727,10139,7934
Argentina,32,Country/Area,931,1000,5,45196,45196,56802,45196,82660,45196,37624,45196,73512,45196,49640
Australia,36,Country/Area,927,1000,5,25500,25500,42877,25500,56912,25500,31871,25500,45469,25500,39127
Austria,40,Country/Area,926,1000,5,9006,9006,8677,9006,12024,9006,6106,9006,7799,9006,7732
Bahamas,44,Country/Area,915,1000,5,393,393,460,393,665,393,308,393,492,393,404
Bahrain,48,Country/Area,922,1000,5,1702,1702,2252,1702,3098,1702,1627,1702,2791,1702,1977
Bangladesh,50,Country/Area,5501,1000,5,164689,164689,151393,164689,242692,164689,88539,164689,216835,164689,119818
Armenia,51,Country/Area,922,1000,5,2963,2963,2039,2963,3175,2963,1207,2963,1974,2963,1738
Barbados,52,Country/Area,915,1000,5,287,287,215,287,320,287,137,287,201,287,189
Belgium,56,Country/Area,926,1000,5,11590,11590,12493,11590,17371,11590,8780,11590,12104,11590,11172
Bermuda,60,Country/Area,918,1000,5,62,62,37,62,55,62,24,62,34,62,32
Bhutan,64,Country/Area,5501,1000,5,772,772,686,772,1030,772,441,772,919,772,548
Bolivia (Plurinational State of),68,Country/Area,931,1000,5,11673,11673,17391,11673,25283,11673,11534,11673,29339,11673,14498
Bosnia and Herzegovina,70,Country/Area,925,1000,5,3281,3281,1641,3281,2548,3281,982,3281,1434,3281,1376
Botswana,72,Country/Area,913,1000,5,2352,2352,4166,2352,6073,2352,2756,2352,7633,2352,3582
Brazil,76,Country/Area,931,1000,5,212559,212559,180683,212559,272693,212559,114395,212559,203559,212559,151236
Belize,84,Country/Area,916,1000,5,398,398,620,398,910,398,410,398,911,398,540
Solomon Islands,90,Country/Area,928,1000,5,687,687,2410,687,3352,687,1683,687,5828,687,2172
British Virgin Islands,92,Country/Area,915,1000,5,30,30,25,30,37,30,16,30,20,30,22
Brunei Darussalam,96,Country/Area,920,1000,5,437,437,390,437,581,437,248,437,467,437,334
Bulgaria,100,Country/Area,923,1000,5,6948,6948,3588,6948,5501,6948,2179,6948,3071,6948,3066
Myanmar,104,Country/Area,920,1000,5,54410,54410,55299,54410,84846,54410,33755,54410,75836,54410,45708
Burundi,108,Country/Area,910,1000,5,11891,11891,50904,11891,67454,11891,37491,11891,154170,11891,38446
Belarus,112,Country/Area,923,1000,5,9449,9449,7430,9449,10810,9449,4874,9449,6992,9449,6420
Cambodia,116,Country/Area,920,1000,5,16719,16719,21355,16719,33721,16719,12792,16719,35645,16719,17565
Cameroon,120,Country/Area,911,1000,5,26546,26546,90225,26546,122823,26546,64322,26546,223648,26546,68281
Canada,124,Country/Area,918,1000,5,37742,37742,56953,37742,75678,37742,42326,37742,54749,37742,51635
Cabo Verde,132,Country/Area,914,1000,5,556,556,604,556,924,556,375,556,906,556,502
Cayman Islands,136,Country/Area,915,1000,5,66,66,103,66,138,66,76,66,95,66,93
Central African Republic,140,Country/Area,911,1000,5,4830,4830,11631,4830,16476,4830,7906,4830,41463,4830,8212
Sri Lanka,144,Country/Area,5501,1000,5,21413,21413,15275,21413,24936,21413,8393,21413,21297,21413,12737
Chad,148,Country/Area,911,1000,5,16426,16426,61850,16426,82834,16426,45002,16426,224442,16426,44583
Chile,152,Country/Area,931,1000,5,19116,19116,17332,19116,25226,19116,11495,19116,17930,19116,14996
